Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,GM,15,Betweenness,0.010998375,0.025869418,-0.014871043
MULTILAYER,GM,16,Betweenness,0.02619934,0.043813042,-0.017613702
MULTILAYER,GM,17,Betweenness,0.019112,0.03982765,-0.020715648
MULTILAYER,GM,18,Betweenness,0.03331584,0.01891705,0.014398791
MULTILAYER,GM,19,Betweenness,0.024911491,0.027469011,-0.0025575198
MULTILAYER,GM,20,Betweenness,0.031250782,0.009411192,0.02183959
MULTILAYER,GM,21,Betweenness,0.032318715,0.01015962,0.022159096
MULTILAYER,GM,22,Betweenness,0.031245783,0.0063041267,0.024941657
MULTILAYER,GM,23,Betweenness,0.04006664,0.0076562236,0.032410417
MULTILAYER,GM,24,Betweenness,0.01723687,0.017120903,0.000115966424
MULTILAYER,GM,25,Betweenness,0.033895623,0.005112074,0.028783549
MULTILAYER,GM,26,Betweenness,0.023291266,0.016721005,0.006570261
MULTILAYER,GM,27,Betweenness,0.023866884,0.015132026,0.008734859
MULTILAYER,GM,28,Betweenness,0.016477153,0.021039225,-0.0045620725
MULTILAYER,GM,29,Betweenness,0.04624724,0.06329386,-0.01704662
MULTILAYER,GM,30,Betweenness,0.029717186,0.014159026,0.015558161
MULTILAYER,GM,31,Betweenness,0.035435878,0.016550772,0.018885106
MULTILAYER,GM,32,Betweenness,0.017662544,0.015215657,0.002446887
MULTILAYER,GM,33,Betweenness,0.012358698,0.020343436,-0.007984738
MULTILAYER,GM,34,Betweenness,0.012506144,0.017849805,-0.0053436607
MULTILAYER,GM,35,Betweenness,0.03018243,0.026713364,0.0034690667
MULTILAYER,GM,36,Betweenness,0.017041525,0.011538462,0.005503063
MULTILAYER,GM,37,Betweenness,0.050742634,0.040500514,0.010242119
MULTILAYER,GM,38,Betweenness,0.011255778,0.009096621,0.0021591578
MULTILAYER,GM,39,Betweenness,0.01639885,0.019325862,-0.0029270109
MULTILAYER,GM,40,Betweenness,0.012069641,0.023361776,-0.011292135
MULTILAYER,GM,41,Betweenness,0.060262818,0.03429317,0.025969647
MULTILAYER,GM,42,Betweenness,0.047353912,0.043607578,0.0037463345
MULTILAYER,GM,43,Betweenness,0.022535715,0.008502292,0.014033423
