Node,Group,Layer,Metric,Value
103,EM,MULTILAYER,Degree_mean,148.00689655172414
103,EM,MULTINEXT,Degree_mean,148.00689655172414
104,Control,MULTILAYER,Degree_mean,149.9
104,Control,MULTINEXT,Degree_mean,149.9
104,EM,MULTILAYER,Degree_mean,149.04827586206898
104,EM,MULTINEXT,Degree_mean,149.04827586206898
105,Control,MULTILAYER,Degree_mean,140.0
105,Control,MULTINEXT,Degree_mean,140.0
105,EM,MULTILAYER,Degree_mean,139.04137931034484
105,EM,MULTINEXT,Degree_mean,139.04137931034484
106,Control,MULTILAYER,Degree_mean,147.6
106,Control,MULTINEXT,Degree_mean,147.6
106,EM,MULTILAYER,Degree_mean,147.01379310344828
106,EM,MULTINEXT,Degree_mean,147.01379310344828
107,Control,MULTILAYER,Degree_mean,149.4
107,Control,MULTINEXT,Degree_mean,149.4
107,EM,MULTILAYER,Degree_mean,149.04827586206898
107,EM,MULTINEXT,Degree_mean,149.04827586206898
108,Control,MULTILAYER,Degree_mean,144.9
108,Control,MULTINEXT,Degree_mean,144.9
108,EM,MULTILAYER,Degree_mean,146.15172413793104
108,EM,MULTINEXT,Degree_mean,146.15172413793104
109,Control,MULTILAYER,Degree_mean,149.8
109,Control,MULTINEXT,Degree_mean,149.8
109,EM,MULTILAYER,Degree_mean,148.99310344827586
109,EM,MULTINEXT,Degree_mean,148.99310344827586
110,Control,MULTILAYER,Degree_mean,148.9
110,Control,MULTINEXT,Degree_mean,148.9
110,EM,MULTILAYER,Degree_mean,149.06206896551726
110,EM,MULTINEXT,Degree_mean,149.06206896551726
111,Control,MULTILAYER,Degree_mean,147.5
111,Control,MULTINEXT,Degree_mean,147.5
111,EM,MULTILAYER,Degree_mean,147.02068965517242
111,EM,MULTINEXT,Degree_mean,147.02068965517242
112,Control,MULTILAYER,Degree_mean,139.6
112,Control,MULTINEXT,Degree_mean,139.6
112,EM,MULTILAYER,Degree_mean,139.09655172413792
112,EM,MULTINEXT,Degree_mean,139.09655172413792
113,Control,MULTILAYER,Degree_mean,142.7
113,Control,MULTINEXT,Degree_mean,142.7
113,EM,MULTILAYER,Degree_mean,142.04827586206898
113,EM,MULTINEXT,Degree_mean,142.04827586206898
114,Control,MULTILAYER,Degree_mean,149.4
114,Control,MULTINEXT,Degree_mean,149.4
114,EM,MULTILAYER,Degree_mean,149.02068965517242
114,EM,MULTINEXT,Degree_mean,149.02068965517242
115,Control,MULTILAYER,Degree_mean,148.0
115,Control,MULTINEXT,Degree_mean,148.0
115,EM,MULTILAYER,Degree_mean,148.06896551724137
115,EM,MULTINEXT,Degree_mean,148.06896551724137
