Node,Layer,Metric,Control,EM,Diff_EM_minus_Control
9,FA,Betweenness_mean,0.0081881881881881,0.0083578751164958,0.0001696869283077003
9,FA,Betweenness_std,0.0127117343924787,0.0179814090829179,0.005269674690439199
9,FA,Closeness_mean,0.9726384726384728,0.9681417660318044,-0.004496706606668455
9,FA,Closeness_std,0.004038222195077,0.0156647952307256,0.0116265730356486
9,FA,Degree_mean,72.88888888888889,72.51034482758621,-0.3785440613026765
9,FA,Degree_std,0.3233808333817807,1.3494713027459535,1.0260904693641728
9,FA,Eigenvector_mean,0.1181525962180516,0.119058965678118,0.0009063694600663919
9,FA,Eigenvector_std,0.0092181024251803,0.0093680700664583,0.0001499676412780003
9,FA,Strength_mean,38.57677802146364,38.74070824531344,0.16393022384980327
9,FA,Strength_std,4.738062265916279,5.697707551732485,0.9596452858162055
9,GM,Betweenness_mean,0.0255135135135135,0.0171407269338303,-0.0083727865796832
9,GM,Betweenness_std,0.0429357771379057,0.0356187758143288,-0.007317001323576905
9,GM,Closeness_mean,0.9973684210526316,0.9936462441375832,-0.003722176915048392
9,GM,Closeness_std,0.005547855544155,0.0169098143824369,0.0113619588382819
9,GM,Degree_mean,74.8,74.49655172413793,-0.3034482758620669
9,GM,Degree_std,0.4216370213557825,1.4148230058671758,0.9931859845113933
9,GM,Eigenvector_mean,0.1153952859504787,0.1205281011839165,0.00513281523343781
9,GM,Eigenvector_std,0.0230049693236469,0.0285042638870805,0.0054992945634336
9,GM,Strength_mean,29.379397232855503,30.64492233319281,1.2655251003373067
9,GM,Strength_std,8.943319095172455,9.807534607474054,0.8642155123015982
9,rsfMRI,Betweenness_mean,0.0133333333333333,0.0104554209381795,-0.0028779123951538
9,rsfMRI,Betweenness_std,0.0326261657638101,0.0355928702572059,0.002966704493395804
9,rsfMRI,Closeness_mean,0.9945264584224788,0.9942280133272492,-0.0002984450952295825
9,rsfMRI,Closeness_std,0.0201774267168582,0.0178635342480164,-0.0023138924688418
9,rsfMRI,Degree_mean,74.55555555555556,74.53793103448275,-0.0176245210728041
9,rsfMRI,Degree_std,1.6528841894672632,1.4954592831076838,-0.1574249063595794
9,rsfMRI,Eigenvector_mean,0.1131197487334301,0.1163197673142873,0.0032000185808571946
9,rsfMRI,Eigenvector_std,0.0169990050919118,0.012520058531764,-0.004478946560147799
9,rsfMRI,Strength_mean,42.63179556652264,43.5685058071805,0.9367102406578596
9,rsfMRI,Strength_std,8.199592763916373,7.000820749038839,-1.1987720148775338
10,FA,Betweenness_mean,0.0053853853853853,0.0168797763280521,0.011494390942666799
10,FA,Betweenness_std,0.006894622840475,0.0430018637731828,0.0361072409327078
10,FA,Closeness_mean,0.8715361311592266,0.8678711322667317,-0.0036649988924948307
10,FA,Closeness_std,0.0023626930673167,0.0115731731839719,0.0092104801166552
10,FA,Degree_mean,63.94444444444444,63.56551724137931,-0.37892720306513183
10,FA,Degree_std,0.2357022603955163,1.218000371188186,0.9822981107926696
10,FA,Eigenvector_mean,0.1051249978176155,0.1034912930202062,-0.001633704797409305
10,FA,Eigenvector_std,0.0092438371394398,0.0112912130243732,0.0020473758849333997
10,FA,Strength_mean,34.237484538913634,33.5940883324614,-0.6433962064522305
10,FA,Strength_std,4.420600492412859,5.38040279653884,0.9598023041259811
10,GM,Betweenness_mean,0.0101261261261261,0.0190344827586206,0.008908356632494499
10,GM,Betweenness_std,0.0115932407919826,0.0413208776113983,0.029727636819415697
10,GM,Closeness_mean,0.9922064777327936,0.9938563615965464,0.0016498838637528657
10,GM,Closeness_std,0.0124333361450015,0.0125079189118344,7.458276683289938e-05
10,GM,Degree_mean,74.4,74.52413793103449,0.12413793103448256
10,GM,Degree_std,0.966091783079296,0.9795319079135162,0.01344012483422019
10,GM,Eigenvector_mean,0.1085793288521669,0.1127749261806171,0.004195597328450207
10,GM,Eigenvector_std,0.0243347814978434,0.0287553278942374,0.004420546396393998
10,GM,Strength_mean,26.967058864847985,28.401431386586736,1.4343725217387515
10,GM,Strength_std,6.116796711312143,9.04833701708305,2.9315403057709064
10,rsfMRI,Betweenness_mean,0.0286886886886886,0.0218452935694315,-0.006843395119257099
10,rsfMRI,Betweenness_std,0.0699065377481919,0.0513557954097153,-0.018550742338476603
10,rsfMRI,Closeness_mean,0.996345029239766,0.9939654982707928,-0.0023795309689731425
10,rsfMRI,Closeness_std,0.0060643236705589,0.01814400702572,0.0120796833551611
10,rsfMRI,Degree_mean,74.72222222222223,74.51724137931035,-0.2049808429118798
10,rsfMRI,Degree_std,0.4608885989624745,1.514299656037687,1.0534110570752124
10,rsfMRI,Eigenvector_mean,0.1121135778991604,0.1120124978498844,-0.00010108004927600334
10,rsfMRI,Eigenvector_std,0.0132859205562741,0.0155243301503517,0.0022384095940776
10,rsfMRI,Strength_mean,41.99707039179594,41.89935538691864,-0.09771500487729412
10,rsfMRI,Strength_std,7.682742857426035,7.62102016459653,-0.06172269282950538
11,FA,Betweenness_mean,0.0282282282282282,0.0346119913016464,0.006383763073418196
11,FA,Betweenness_std,0.0217761655806741,0.0393998876369276,0.017623722056253503
11,FA,Closeness_mean,0.984724339987498,0.9807260055803426,-0.003998334407155357
11,FA,Closeness_std,0.0065250597017996,0.0137839684954049,0.0072589087936053
